序号,原句,术语,原句翻译,原句术语翻译,bert替换变异,替换术语,替换翻译,替换术语翻译,原句术语翻译,gpt建议,请问这组替换变异是否存在术语翻译一致的错误
90,"(1) For the purposes of holding, dealing with and enforcing copyright, and in connection with all legal proceedings relating to copyright, the Legislative Council is to be treated as having the legal capacities of a body corporate, which is not affected by a dissolution of the Legislative Council.",body corporate,（1）为持有、处理和执行版权的目的，以及在所有与版权有关的法律程序中，立法会被视为具有法人团体的法律行为能力，不受立法会解散的影响。,['法人团体，'],"['(1) For the purposes of holding, dealing with and enforcing copyright, and in connection with all legal proceedings relating to copyright, the Legislative Council is to be treated as having the legal capacities of a corporation corporate, which is not affected by a dissolution of the Legislative Council.', '(1) For the purposes of holding, dealing with and enforcing copyright, and in connection with all legal proceedings relating to copyright, the Legislative Council is to be treated as having the legal capacities of a court corporate, which is not affected by a dissolution of the Legislative Council.', '(1) For the purposes of holding, dealing with and enforcing copyright, and in connection with all legal proceedings relating to copyright, the Legislative Council is to be treated as having the legal capacities of a person corporate, which is not affected by a dissolution of the Legislative Council.']","['corporation corporate', 'court corporate', 'person corporate']","['（1）为持有、处理和执行版权的目的，以及在所有与版权有关的法律程序中，立法会须被视为具有法人团体的法律资格，立法会解散并不会影响该法人团体的法律资格。', '（1）为了持有、处理和执行版权，以及在所有与版权有关的法律程序中，立法会应被视为具有法院法人的法律能力，不受立法会解散的影响。', '（1）为持有、处理和执行版权的目的，以及在所有与版权有关的法律程序中，立法会应被视为具有法人资格，不受立法会解散的影响。']","['法人团体，', '法院法人，', '法人资格，']",['法人团体，'],"{'corporation corporate': 'NO\nDifferent translations: <body corporate: 法人团体, corporation corporate: 公司法人>'}",
91,"Article 30 A company which changes its form shall, in accordance with the establishment requirements of the company form of the company to which the company intends to change, apply for registration of change with the company registration authority in the fixed time limit and submit the relevant documents.",time limit,第三十条 公司变更形式，应当按照拟变更公司形式的设立要求，在规定的期限内向公司登记机关申请变更登记，并提交有关资料。文件。,['期限'],"['Article 30 A company which changes its form shall, in accordance with the establishment requirements of the company form of the company to which the company intends to change, apply for registration of change with the company registration authority in the fixed term limit and submit the relevant documents.', 'Article 30 A company which changes its form shall, in accordance with the establishment requirements of the company form of the company to which the company intends to change, apply for registration of change with the company registration authority in the fixed time period and submit the relevant documents.', 'Article 30 A company which changes its form shall, in accordance with the establishment requirements of the company form of the company to which the company intends to change, apply for registration of change with the company registration authority in the fixed time frame and submit the relevant documents.', 'Article 30 A company which changes its form shall, in accordance with the establishment requirements of the company form of the company to which the company intends to change, apply for registration of change with the company registration authority in the fixed time interval and submit the relevant documents.']","['term limit', 'time period', 'time frame', 'time interval']","['第三十条 公司变更形式，应当按照拟变更的公司形式的设立条件，在规定的期限内向公司登记机关申请变更登记，并提交有关文件。', '第三十条 公司变更形式，应当按照拟变更的公司形式的设立条件，在规定的时间内向公司登记机关申请变更登记，并提交有关文件。', '第三十条 公司变更形式，应当按照拟变更的公司形式的设立条件，在规定的时间内向公司登记机关申请变更登记，并提交有关文件。', '第三十条 公司变更形式，应当按照拟变更的公司形式的设立条件，在规定的时间内向公司登记机关申请变更登记，并提交有关文件。']","['期限', '时间', '时间', '时间']",['期限'],"{'term limit': ""NO\nDifferent translations: time limit: ['时间限制'], term limit: ['期限']""}",
92,"(a) permit any owner, at any reasonable time, to inspect the books or records of account and any income and expenditure account or balance sheet; and",balance sheet,(a) 允许任何业主在任何合理时间检查账簿或会计记录以及任何收支账户或资产负债表；并且,['负债表；'],"['(a) permit any owner, at any reasonable time, to inspect the books or records of account and any income and expenditure account or balance book; and']",['balance book'],['(a) 允许任何业主在任何合理时间检查账簿或会计记录以及任何收支账户或资产负债表；并且'],['负债表；'],['负债表；'],"{'balance book': 'NO\nDifferent translations: <balance sheet: 负债表, balance book: 结算账簿>'}",
93,The applicant entity of territory-transit animals or territory-transit genetically modified products shall be an entity with independent legal person status and is able to directly conclude trade contracts or agreements with others or an agent of such an entity.,legal person,过境动物、过境转基因产品申请单位应当是具有独立法人资格的单位，并能直接与他人或者其代理人签订贸易合同或协议。,['法人资格'],"['The applicant entity of territory-transit animals or territory-transit genetically modified products shall be an entity with independent legal entity status and is able to directly conclude trade contracts or agreements with others or an agent of such an entity.', 'The applicant entity of territory-transit animals or territory-transit genetically modified products shall be an entity with independent legal tender status and is able to directly conclude trade contracts or agreements with others or an agent of such an entity.']","['legal entity', 'legal tender']","['过境动物、过境转基因产品的申请单位应当是具有独立法人资格的单位，有能力直接与他人或者其代理人签订贸易合同或协议。', '过境动物、过境转基因产品的申请单位应当是具有独立法人资格，并能直接与他人或者其代理人签订贸易合同或协议的单位。']","['法人资格', '法人资格']",['法人资格'],"{'legal entity': 'NO\nDifferent translations: <legal person: 法人, legal entity: 法人实体>', 'legal tender': 'NO\nDifferent translations: <legal person: 法人资格, legal tender: 法定货币资格>.'}",
94,"Because a state may dispense with a jury trial, it does not follow that it may substitute trial by ordeal.",jury trial,虽然一个州可以免除陪审团审判，但这并不意味着它可以用严酷审判来代替。,['陪审团审判，'],"['Because a state may dispense with a fair trial, it does not follow that it may substitute trial by ordeal.', 'Because a state may dispense with a federal trial, it does not follow that it may substitute trial by ordeal.', 'Because a state may dispense with a jury system, it does not follow that it may substitute trial by ordeal.', 'Because a state may dispense with a jury procedure, it does not follow that it may substitute trial by ordeal.', 'Because a state may dispense with a jury test, it does not follow that it may substitute trial by ordeal.', 'Because a state may dispense with a jury verdict, it does not follow that it may substitute trial by ordeal.']","['fair trial', 'federal trial', 'jury system', 'jury procedure', 'jury test', 'jury verdict']","['虽然一个国家可以放弃公正审判，但这并不意味着它可以用严酷审判来代替审判。', '虽然一个州可以免除联邦审判，但这并不意味着它可以用神判法来代替审判。', '虽然一个州可以取消陪审团制度，但这并不意味着它可以用严酷审判来代替。', '虽然一个州可以取消陪审团审判程序，但这并不意味着它可以用严酷审判来代替。', '虽然一个州可以免除陪审团审判，但这并不意味着它可以用严酷审判来代替。', '虽然一个州可以免除陪审团裁决，但这并不意味着它可以用严酷审判来代替。']","['公正审判，', '联邦审判，', '陪审团制度，', '陪审团审判程序，', '陪审团审判，', '陪审团裁决，']",['陪审团审判，'],"{'jury test': 'NO\nDifferent translations: <jury trial: 陪审团审判, jury test: 陪审团测试>.'}",
95,"the plaintiff must be a citizen, a legal person or any other organization that considers a specific administrative act to have infringed upon his or its lawful rights and interests",legal person,原告必须是认为具体行政行为侵犯其合法权益的公民、法人或者其他组织,['法人'],"['the plaintiff must be a citizen, a legal entity or any other organization that considers a specific administrative act to have infringed upon his or its lawful rights and interests', 'the plaintiff must be a citizen, a legal party or any other organization that considers a specific administrative act to have infringed upon his or its lawful rights and interests']","['legal entity', 'legal party']","['原告必须是认为具体行政行为侵犯其合法权益的公民、法人或者其他组织', '原告必须是认为具体行政行为侵犯其合法权益的公民、法人或者其他组织']","['法人', '法人']",['法人'],"{'legal entity': 'YES', 'legal party': 'NO\nDifferent translations: <legal person: 法人, legal party: 法定当事人>'}",
96,"“There is now a substantial difference deriving from the lower oil price and the natural consequences of that fact for the Angolan economy, although the latter's dependence on the price of this raw material is increasingly less, ”due to ongoing diversification of the economy, the study asserts.",raw material,研究称，“目前，油价下跌及其对安哥拉经济的自然影响产生了巨大差异，尽管由于经济的持续多样化，安哥拉经济对这种原材料价格的依赖越来越小。”,['原材料'],"[""“There is now a substantial difference deriving from the lower oil price and the natural consequences of that fact for the Angolan economy, although the latter's dependence on the price of this raw commodity is increasingly less, ”due to ongoing diversification of the economy, the study asserts.""]",['raw commodity'],['研究称，“目前，油价下跌及其对安哥拉经济的自然影响产生了巨大差异，尽管由于经济的持续多样化，安哥拉经济对这种原材料价格的依赖越来越小。”'],['原材料'],['原材料'],"{'raw commodity': 'NO\nDifferent translations: <raw material: 原材料, raw commodity: 原物资>'}",
97,"It has also left many diners suffering from anaphylactic shock - a severe allergic reaction that can cause swelling, rashes and difficulty breathing.",anaphylactic shock,许多食客还患上了过敏性休克——这是一种严重的过敏反应，会引起肿胀、皮疹和呼吸困难。,['过敏性休克'],"['It has also left many diners suffering from anaphylactic acid - a severe allergic reaction that can cause swelling, rashes and difficulty breathing.', 'It has also left many diners suffering from anaphylactic poisoning - a severe allergic reaction that can cause swelling, rashes and difficulty breathing.']","['anaphylactic acid', 'anaphylactic poisoning']","['许多食客还出现过敏性休克——这是一种严重的过敏反应，会引起肿胀、皮疹和呼吸困难。', '许多食客还出现过敏性中毒症状——这是一种严重的过敏反应，会引起肿胀、皮疹和呼吸困难。']","['过敏性休克', '过敏性中毒']",['过敏性休克'],"{'anaphylactic acid': 'NO\nDifferent translations: <anaphylactic shock: 过敏性休克, anaphylactic acid: 过敏性酸>'}",
98,But the achievement in scientific research in ski tourism is very poor.,scientific research,但滑雪旅游方面的科研成果却很贫乏。,['科研成果'],['But the achievement in scientific work in ski tourism is very poor.'],['scientific work'],['但滑雪旅游领域的科研成果却很差。'],['科研成果'],['科研成果'],"{'scientific work': 'NO\nDifferent translations: <scientific research: 科研, scientific work: 科研工作>'}",
99,"One part, space tourism, is a luxury service that is, in any case, unlikely to go beyond low-Earth orbit at best (the cost of getting even as far as the moon would reduce the number of potential clients to a handful).",space tourism,其中一部分，太空旅游，是一项奢侈服务，无论如何，也不太可能超越近地轨道（即使去月球的成本也会使潜在客户的数量减少到屈指可数）。,['太空旅游，'],"['One part, space travel, is a luxury service that is, in any case, unlikely to go beyond low-Earth orbit at best (the cost of getting even as far as the moon would reduce the number of potential clients to a handful).']",['space travel'],['其中一部分，太空旅行，是一项奢侈服务，无论如何，它不太可能超越近地轨道（即使到达月球，其成本也会使潜在客户的数量减少到屈指可数）。'],['太空旅行，'],['太空旅游，'],{},
